"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"138","R076","3A",3,"Rhodo","12-Mar-19",7.94,4.93466456253652,"17-Apr-19",6.483,2.83321734900203,36,-0.0154131044753931,-0.00312343509473933
"139","R077","3A",3,"Rhodo","12-Mar-19",7.832,4.75311632659177,"17-Apr-19",7.678,4.50166312760743,36,-0.00150982109094345,-0.000317648672408166
"140","R078","3A",3,"Rhodo","12-Mar-19",8.192,5.37523179644237,"17-Apr-19",8.397,5.75144178956124,36,0.00187913531624995,0.000349591494360052
"141","R079","3A",3,"Rhodo","12-Mar-19",8.012,5.05810541161239,"17-Apr-19",8.263,5.50370250495194,36,0.00234525166301823,0.000463662077431998
"142","R084","2C",2,"Rhodo","12-Mar-19",7.165,3.7254234707684,"17-Apr-19",7.19,3.76110877954307,36,0.000264813147482464,0.0000710826969230009
"143","R085","2C",2,"Rhodo","12-Mar-19",8.419,5.79277867805557,"17-Apr-19",9.305,7.6177312432666,36,0.00760740283174407,0.00131325625481994
"144","R086","2C",2,"Rhodo","12-Mar-19",8.061,5.14322351743784,"17-Apr-19",9.448,7.94244444120216,36,0.0120705851567966,0.00234689103358465
"145","R087","2C",2,"Rhodo","12-Mar-19",8.356,5.67490542065909,"17-Apr-19",9.6,8.29708016529351,36,0.0105513824536504,0.00185930542828763
"146","R088","2C",2,"Rhodo","12-Mar-19",7.733,4.59047287221414,"17-Apr-19",8.043,5.11185086908964,36,0.00298829174726407,0.000650976888536261
"147","R089","2C",2,"Rhodo","12-Mar-19",7.801,4.70180086993369,"17-Apr-19",10.317,10.1051941217653,36,0.021252887833181,0.00452015906694081
"148","R090","2C",2,"Rhodo","12-Mar-19",6.93,3.40044523257932,"17-Apr-19",7.016,3.517192211794,36,0.000937684177580771,0.00027575335388346
"149","R093","1A",1,"Rhodo","12-Mar-19",7.402,4.07246495196896,"17-Apr-19",7.938,4.9312632470701,36,0.0053151871257317,0.00130515233118505
"150","R094","1A",1,"Rhodo","12-Mar-19",7.96,4.96875963073992,"17-Apr-19",8.36,5.68234375211029,36,0.00372759839879867,0.000750207028679223
"151","R095","1A",1,"Rhodo","12-Mar-19",7.36,4.00953029477644,"17-Apr-19",6.911,3.37498887370182,36,-0.00478561314854142,-0.0011935595435645
"152","R097","1A",1,"Rhodo","12-Mar-19",8.527,5.99843964126189,"17-Apr-19",8.99,6.93248913584999,36,0.00401998765990384,0.000670172228166016
"153","R098","1A",1,"Rhodo","12-Mar-19",7.191,3.7625406847213,"17-Apr-19",7.685,4.5129050747927,36,0.00505129565738177,0.00134252253481105
"154","R099","1A",1,"Rhodo","12-Mar-19",7.504,4.22790659816854,"17-Apr-19",7.766,4.64428825892591,36,0.00260919879612212,0.000617137284265547
"155","R100","1A",1,"Rhodo","12-Mar-19",8.411,5.7777253428101,"17-Apr-19",9.392,7.81425891732623,36,0.00838722403384973,0.00145164810305269
"156","R103","4C",4,"Rhodo","12-Mar-19",7.312,3.9383649117134,"17-Apr-19",7.649,4.45527871851308,36,0.0034256661637841,0.000869819389664873
"157","R105","4C",4,"Rhodo","12-Mar-19",7.893,4.85512657659084,"17-Apr-19",7.848,4.77974017297652,36,-0.00043469402454966,-0.0000895329952149038
"158","R107","4C",4,"Rhodo","12-Mar-19",7.415,4.09207093614785,"17-Apr-19",8.073,5.16420633762777,36,0.00646389571834735,0.00157961477677419
"159","R113","1B",1,"Rhodo","12-Mar-19",8.1,5.21161611190103,"17-Apr-19",8.351,5.66561620007469,36,0.00232015721829217,0.000445189585816567
"160","R114","1B",1,"Rhodo","12-Mar-19",7.038,3.54746037283589,"17-Apr-19",8.807,6.55304495604842,36,0.0170471628019109,0.00480545545552724
"161","R115","1B",1,"Rhodo","12-Mar-19",8.223,5.43108782602267,"17-Apr-19",8.002,5.04084501196954,36,-0.0020712700286255,-0.000381372957863278
"162","R116","1B",1,"Rhodo","12-Mar-19",7.718,4.56614279070245,"17-Apr-19",7.123,3.66595728251826,36,-0.00609942564478551,-0.00133579389089739
"163","R117","1B",1,"Rhodo","12-Mar-19",8.053,5.12926507817165,"17-Apr-19",9.23,7.45085268987656,36,0.0103712803209612,0.00202198173868957
"164","R118","1B",1,"Rhodo","12-Mar-19",7.683,4.50969127399862,"17-Apr-19",8.337,5.63965773728387,36,0.00621096336880923,0.00137724801797843
"165","R120","1B",1,"Rhodo","12-Mar-19",8.171,5.33760181763287,"17-Apr-19",8.257,5.49277126761835,36,0.000796012736515491,0.000149133030846521
"166","R123","1C",1,"Rhodo","12-Mar-19",7.592,4.36499589071013,"17-Apr-19",7.255,3.85490368002234,36,-0.00345197852491468,-0.000790832021689049
