trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,21-Mar-19,9,3,3B,A136,A,bug,3,1.7464,1.9291,0.4215,0.4483,
CT1,12-Mar-19,21-Mar-19,9,4,4B,R141,R,microbes,2,1.7666,2.0107,0.4195,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,4,4B,R142,R,microbes,2,1.8384,1.9604,0.4427,0.4854,Microbes
CT1,12-Mar-19,21-Mar-19,9,4,4B,R143,R,bug,2,1.6584,1.8987,0.4855,0.5561,
CT1,12-Mar-19,21-Mar-19,9,4,4B,R144,R,bug,2,1.744,2.108,0.3464,0.4513,
CT1,12-Mar-19,21-Mar-19,9,4,4B,R145,R,bug,2,1.6764,2.007,0.3909,0.4862,
CT1,12-Mar-19,21-Mar-19,9,4,4B,R146,R,bug,2,1.6632,1.9665,0.4377,0.5216,
CT1,12-Mar-19,21-Mar-19,9,4,4B,A141,A,microbes,3,1.9417,2.0505,0.358,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,4,4B,A142,A,microbes,3,1.8341,1.9076,0.4095,0.4249,Microbes
CT1,12-Mar-19,21-Mar-19,9,4,4B,A143,A,bug,3,1.7861,1.9188,0.389,0.412,
CT1,12-Mar-19,21-Mar-19,9,4,4B,A144,A,bug,3,1.8271,1.9696,0.405,0.4455,
CT1,12-Mar-19,21-Mar-19,9,4,4B,A145,A,bug,3,1.6824,1.8233,0.4165,0.4439,
CT1,13-Mar-19,21-Mar-19,8,4,4B,A146,A,bug,3,1.8435,1.9808,0.4487,0.4615,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R151,R,microbes,2,1.7935,2.0056,0.2975,NA,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R152,R,microbes,2,1.7633,1.9929,0.3617,0.4303,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R153,R,bug,2,1.68,2.0164,0.4271,0.5243,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R154,R,bug,2,1.8139,2.0756,0.4819,0.5671,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R155,R,bug,2,1.8853,2.2245,0.4649,0.5366,
CT1,13-Mar-19,21-Mar-19,8,0,0B,R156,R,bug,2,1.8213,2.1242,0.4219,0.5146,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A151,A,microbes,3,1.8965,1.9464,0.3504,NA,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A152,A,microbes,3,1.6551,1.7164,0.3384,0.3574,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A153,A,bug,3,1.6761,1.7777,0.3461,0.3615,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A154,A,bug,3,1.8219,1.8278,0.3411,0.3673,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A155,A,bug,3,1.7026,1.834,0.3796,0.4092,
CT1,13-Mar-19,21-Mar-19,8,0,0B,A156,A,bug,3,1.8993,2.0113,0.4113,0.4359,
CT1,13-Mar-19,21-Mar-19,8,3,3C,R161,R,microbes,2,1.816,2.0256,0.4221,NA,
